Make,Model,Model Year,Type,Price LL,Price UL,Score,Gas,Hybrid,PHEV,EV,Transmission,Fakery,Door sills protrude,Parking cam mud,Key design/weight,Acceleration,Brake,Eco,Build,Driver's Display: Easy,Driver's Display: Bright,Infotainment: Responsive,Infotainment: Bright,Infotainment: Parking Cam,Infotainment: A/C control,Infotainment: Vol control,Centre cubby,Doorbins Front,Doorbins Back,Cup-holder,Glovebox,Charging ports,Seatback Pocket,Sunglass storage,Driver seat: pos/shape/mtr,Driver seat: Adjustment,Steering: Adjustment,Suspension,Insulation,Engine noise,Body roll,Backseat: Headroom,Backseat: Kneeroom,Backseat: Incline,Backseat: Deep footwell,Backseat: Flat floor,Backseat: Isofix,Backseat: Armrest cover,Backseat: Seat-belts pos,Backseat: Rear windows roll,"Rear A/C, port, Climate",Boot lip,Flat boot,Easily foldable seats,Load cover fits inside,NCAP,Reliable,Visibility: Side mirrors,Visibility: IRVM-Back,Visibility: Pillars,Handling
Acura,ADX,2025,SUV,"$48,596.00","$69,285.00",35,TRUE,FALSE,FALSE,FALSE,Torque Converter,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Acura,Integra,2025,Sedan,"$44,691.00","$72,019.00",37,TRUE,FALSE,FALSE,FALSE,"Manual,DCT",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Acura,MDX,2026,SUV,"$71,996.00","$112,523.00",40,TRUE,FALSE,FALSE,FALSE,Torque Converter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Acura,RDX,2026,SUV,"$58,216.00","$85,643.00",34,TRUE,FALSE,FALSE,FALSE,Torque Converter,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Acura,RSX,2026,SUV,,,-1,FALSE,FALSE,FALSE,TRUE,Torque Converter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Acura,TLX,2025,Sedan,"$58,606.00","$90,231.00",37,TRUE,FALSE,FALSE,FALSE,Torque Converter,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Acura,ZDX,2024,SUV,"$73,606.00","$95,106.00",38,FALSE,FALSE,FALSE,TRUE,Single-Speed,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Alfa Romeo,Giulia,2025,Sedan,"$63,440.00","$73,790.00",31,TRUE,FALSE,FALSE,FALSE,Torque Converter,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Alfa Romeo,Giulia Quadrofoglio,2024,Sedan,"$95,340.00","$112,288.00",31,TRUE,FALSE,FALSE,FALSE,Torque Converter,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
Alfa Romeo,Stelvio,2025,SUV,"$64,940.00","$75,090.00",34,TRUE,TRUE,FALSE,FALSE,Torque Converter,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
